County,Precinct,First Expression,Final Expression,SDE
Adair,1NW ADAIR,40,40,0.6275
,5GF GREENFIELD,78,78,1.0197
,2NE STUART,43,43,0.8628
,Total,161,161,2.51
Adams,Adams 1,29,29,0.6856
,Adams 5,15,15,0.4285
,Adams 4,18,18,0.5999
,Total,62,62,1.714
Allamakee,Pct 05 - LT/PC/WV City,23,23,0.3112
,Pct 02 - FC/JF/LL/MK/UP,71,71,1.0888
,Pct 08 - IA/UC/NA City,37,37,0.389
,Pct 04 - PV City,38,38,0.6223
,Pct 07 - CN/LF/LS/LS City,105,103,1.4
,Pct 01 - WL/HV,16,16,0.3112
,Pct 09 - Waukon 1,53,53,0.7001
,Pct 11 - Waukon 3,41,41,0.7
,Total,384,382,5.5226
Appanoose,Johns/Independence,25,25,0.32
,Caldwell Township,13,13,0.16
,Taylor/Chariton,29,29,0.56
,Walnut,18,18,0.4
,Vermillion/Douglas/Sharon,31,31,0.48
,Centerville Ward 3,49,48,0.8
,Centerville Ward 2,65,65,0.88
,Washington/Wells,10,10,0.32
,Pleasant/Franklin,24,24,0.4
,Centerville Ward 1,57,57,1.04
,Union / Udell Township,26,26,0.32
,Total,347,346,5.68
Audubon,Precinct 2,92,92,1.5
,Precinct 1,111,111,1.5
,Total,203,203,3.0
Benton,Belle Plaine 3,23,23,0.45
,Vinton 3,52,52,0.825
,Walford,39,39,0.75
,Fremont-Atkins,94,70,1.65
,Polk-Urbana,85,85,1.5
,Bruce-Cedar-Mt Auburn,20,20,0.375
,Florence-St Clair-Norway,44,43,0.9
,Kane-Keystone,22,19,0.45
,Iowa-Leroy-Luzerne-Blairstown,35,34,0.75
,Benton-Canton-Shellsburg,89,89,1.65
,Belle Plaine 1,25,25,0.45
,Vinton 1,58,58,0.9
,Belle Plaine 2,23,23,0.375
,Big Grove-Union-Van Horne,44,44,0.675
,Eldorado-Newhall,40,40,0.75
,Vinton 2,40,40,0.6
,Eden-Harrison-Taylor,53,53,0.75
,Total,786,757,13.8
Black Hawk,CF W1 P2,353,340,3.03
,CF W5 P1,258,256,2.626
,CF W5 P2,186,180,2.626
,CF W4 P1,276,267,2.626
,CF W1 P3,352,329,3.03
,CF W2 P3,273,273,3.838
,Evansdale W1,28,28,0.808
,Mt Vernon,38,37,0.808
,Barclay Lester Dunkerton,59,59,1.01
,Evansdale W2,22,21,0.606
,Poyner P1 & East Wloo,41,41,0.606
,Bennington,16,16,0.202
,WL 1-6,156,154,2.222
,WL 5-6,126,118,1.818
,Eagle,12,1,0.202
,WL 4-4,60,58,1.414
,Evansdale W3,20,20,0.808
,Poyner P2 Fox Gilbert Jesup,58,54,1.414
,WL 5-3,98,98,1.414
,WL 3-2,90,88,1.818
,WL 2-6,152,149,1.818
,WL 3-3,46,39,1.414
,WL 3-5,121,120,2.222
,Cedar Orange,67,67,1.414
,WL 5-2,85,85,1.616
,CF W2 P2 & CF Twp,273,263,2.828
,CF W3 P3,166,166,1.818
,WL 1-2,132,127,1.818
,Evansdale W4,35,35,0.808
,CF W2 P1,88,88,0.808
,Elk Run Heights & Raymond,62,59,1.414
,WL 2-5,110,110,1.818
,WL 2-1,60,60,1.212
,WL 5-5,200,200,2.02
,WL 4-3,35,35,1.01
,Total,4154,4041,56.964
Boone,Boone 2nd Ward,130,130,1.9
,Boone 3rd Ward,165,165,1.9
,Rural Precinct 4,115,115,1.33
,Boone 5th Ward,72,72,1.9
,Boone 1st Ward,109,105,1.71
,Madrid 2nd Ward,45,45,0.76
,Ogden,88,88,1.33
,Rural Precinct 6,114,114,1.14
,Rural Precinct 1,95,95,0.95
,Rural Precinct 5,34,31,0.57
,Rural Precinct 3,51,51,0.57
,Madrid 3rd Ward,39,39,0.57
,Rural Precinct 2,119,119,1.33
,Total,1176,1169,15.96
Bremer,WAVERLY WARD V/W WASHINGTON TWP,210,210,2.04
,CITY OF DENVER/JEFFERSON TWP,123,123,2.0399
,WAVERLY WARD II/NE 1/4 SEC 36 WASHINGTON TWP,148,143,1.5866
,CITY OF FREDERIKA- FREDERIKA & LEROY TWP,16,16,0.2267
,CITY OF JANESVILLE/JACKSON TWP,64,64,1.1334
,CITY OF SUMNER/SUMNER TWP/DAYTON TWP,66,66,1.36
,CITY OF TRIPOLI/FREMONT,55,55,1.1334
,LAFAYETTE TWP/WARREN TWPS,36,36,0.9068
,WAVERLY WARD III,176,176,1.1333
,WAVERLY WARD IV,163,161,1.8134
,Total,1057,1050,13.3735
Buchanan,Perry-Westburg,31,27,0.821
,Brandon,36,35,0.5472
,Quasqueton,56,56,0.8209
,Fairbank,39,38,0.6841
,Middlefield-Newton,23,22,0.4104
,Independence 1st Ward,91,81,1.6421
,Jesup,87,87,1.5053
,Winthrop,64,64,0.9579
,Rowley,36,36,0.6841
,Independence 4th Ward,48,48,0.821
,Aurora,38,38,0.6841
,Total,549,532,9.5781
Buena Vista,STORM LAKE 01,39,38,1.4
,NEWELL NEWELL PROVIDENCE,32,22,0.4
,STORM LAKE 02,47,44,0.8
,STORM LAKE 04,126,126,1.6
,SRL;LGB;RELS;MAP,50,50,1.0
,Total,294,280,5.2
Butler,1-GR,86,86,1.1666
,5-AP,30,30,0.5834
,2-CL,67,67,1.2833
,8-NH,50,50,0.5833
,4-AL,41,41,0.4668
,3-DU,18,18,0.4666
,6-SR,75,75,1.2832
,7-PB,61,61,1.1665
,Total,428,428,6.9997
Calhoun,Calhoun- Jackson- EG- LK,67,67,1.25
,Lincoln 1,40,39,0.8334
,Greenfield & Lincoln 2,9,9,0.1667
,Reading,12,12,0.2499
,Center- Logan- TL- GA- L,21,21,0.4166
,Cedar,5,5,0.0833
,Sherman,15,15,0.2499
,Butler- Williams,31,31,0.5
,Rockwell City,41,41,1.0834
,Total,241,240,4.8332
Carroll,Ewoldt,39,39,0.88
,Wheatland-Kniest,27,27,0.44
,Union,64,64,0.77
,Carroll Ward One,81,81,1.54
,Pleasant Valley-Newton,16,16,0.33
,Carroll Ward Four,83,83,1.43
,Sheridan-Grant-Jasper,27,27,0.55
,Eden,20,20,0.22
,Carroll Ward Three &amp; S1/2 Maple River Twp,86,85,1.43
,Glidden-Richland,32,32,0.77
,Total,475,474,8.36
Cass,Enda- Victoria Twp,5,5,0.12
,Massena Twp/Massena City,8,8,0.24
,Grant- Lincoln Twp/Anita,45,45,0.72
,Union Twp/Cumberland,5,5,0.12
,Atlantic 1,41,41,0.48
,Atlantic 3,38,36,0.6
,Brighton- Grove- Pymosa- Washington Twp/Marne,25,25,0.48
,Bear Grove- Cass Twp/Lewis,27,27,0.36
,Benton- Franklin Twp/Wiota,12,12,0.24
,Noble- Pleasant Twp/Griswold,41,41,0.6
,Atlantic 4,41,41,0.72
,Total,288,286,4.68
Cedar,CASS/CENTER/IOWA/ROCHESTER,84,73,1.3715
,WEST BRANCH 1,208,208,2.4
,FARMINGTON/SUGAR CREEK,70,61,1.3715
,DAYTON/FAIRFIELD,43,42,0.6857
,TIPTON 3,62,62,0.857
,MASSILLON/SPRINGFIELD,46,45,0.6856
,LINN/PIONEER,84,79,1.2
,FREMONT/RED OAK,26,26,0.5142
,TIPTON 2,62,59,0.6856
,Total,685,655,9.7711
Cerro Gordo,Mason City W-3 P-2,74,74,1.4171
,Mason City W-2 P-2,171,161,2.3029
,Lake / Lincoln Twps Pct,22,22,0.3542
,Portland - Owen - Dougherty,31,29,0.5313
,Geneseo Twp Pct,31,31,0.8857
,Lime Creek / Mason N Twps,29,29,0.3542
,Mason City W-1 P-2,101,101,1.7715
,Mt Vernon - Pl Valley Twps,15,15,0.3542
,Mason City W-3 P-3,144,142,2.48
,Clear Lake - Ward 2,135,133,1.9486
,Clear Lake - Ward 3,93,91,1.5943
,Clear Lake - Grant - Union,86,86,1.24
,Mason City W-1 P-3,157,157,1.9486
,Mason City W-4 P-2,57,56,1.5942
,Mason City W-4 P-3,106,100,1.9486
,Grimes - Thornton Pct,10,10,0.1771
,Mason City W-3 P-1,122,122,1.9486
,Mason City W-1 P-1,87,87,1.4171
,Total,1471,1446,24.2682
Cherokee,#1 Aurelia,38,38,0.8728
,#5 Cherokee Ward 1,62,59,1.091
,#3 Quimby,25,25,0.5455
,Total,125,122,2.5093
Chickasaw,Dresden-Fredericksburg,44,44,0.84
,Jacksonville-Utica,12,12,0.28
,Stapleton,30,30,0.56
,Washington 1 Township,15,15,0.21
,Bradford,59,59,1.26
,City of New Hampton Ward One,36,36,0.63
,New Hampton Rural,18,18,0.35
,Deerfield-Washington 2,21,21,0.42
,Chickasaw,15,15,0.28
,City of New Hampton Ward Two,21,21,0.49
,Total,271,271,5.32
Clarke,Middle Precinct,16,16,0.48
,Osceola 3rd Ward Precinct,76,76,0.8
,Osceola 2nd Ward Precinct,43,43,0.64
,Woodburn Precinct,17,16,0.24
,North East Precinct,40,40,0.72
,Total,192,191,2.88
Clay,Lincoln-Clay,17,15,0.3764
,Spencer Ward 1,64,64,0.9412
,Logan-Gillett Grove,11,11,0.1882
,Spencer Ward 2,70,66,1.1295
,Summit-Riverton-Sioux-Meadow,35,35,0.6588
,Garfield-Herdland,16,14,0.1882
,Spencer Ward 3,81,81,1.1295
,Spencer Ward 5,71,71,1.2237
,Total,365,357,5.8355
Clayton,BOARDMAN-HIGHLAND,135,129,1.4999
,CASS,63,59,0.8334
,MENDON,80,80,1.3333
,JEFFERSON-MILLVILLE,119,119,2.0
,LODOMILLO,16,12,0.3334
,ELK-MALLORY-VOLGA,31,31,0.5001
,FARMERSBURG-WAGNER,29,29,0.5001
,GIARD-LUANA-MONONA,72,72,1.1668
,COX CREEK-SPERRY,25,25,0.5001
,Total,570,556,8.6671
Clinton,OLIVE GRANT CALAMUS,31,31,0.4428
,CLINTON 1-2,83,83,1.993
,DEWITT 1,100,100,1.7714
,CLINTON 2-1,90,80,1.5501
,CLINTON 2-2,172,168,2.6572
,BLOOMFIELD BROOKFIELD DEL,33,33,0.6642
,CLINTON 4-1,137,135,2.2145
,LIBERTY TORONTO,13,13,0.2214
,WATERFORD CHARLOTTE,22,22,0.2214
,CAMANCHE 1,68,66,1.7716
,DEWITT 2,152,150,2.2144
,LOW MOOR,6,6,0.2214
,CLINTON 1-1,66,66,1.5501
,DEEP CREEK GOOSE LAKE,12,12,0.4428
,ORANGE GRAND MOUND,28,28,0.6642
,WELTON WASHINGTON WELTON,29,29,0.6642
,SHARON LOST NATION,21,21,0.2214
,CAMANCHE 2,56,55,1.5501
,SPRING ROCK WHEATLAND,26,25,0.6642
,CENTER TWP,14,14,0.2214
,CLINTON 3-1,161,158,2.2144
,Total,1320,1295,24.1362
Crawford,SRK,20,20,0.45
,Denison Ward 3-Goodrich Twp,62,62,1.2
,Northeast,20,20,0.6
,Denison Ward 1,84,84,0.9
,Southeast,34,33,0.75
,Total,220,219,3.9
Dallas,CLIVE 5,255,229,2.0715
,BEAVER / DES MOINES,122,122,1.6572
,DESOTO,44,44,0.4143
,WEST DES MOINES 224,45,45,0.4143
,ADAMS,75,75,0.8286
,VAN METER,144,144,1.6572
,UNION,74,62,1.2429
,SPRING VALLEY / DALLAS,52,52,0.4143
,WAUKEE 4,234,224,2.0715
,WAUKEE 2,290,271,2.4858
,ADEL 2,190,175,1.6572
,WEST DES MOINES 221,395,376,3.3144
,PERRY 1,132,131,1.6572
,WEST DES MOINES 222,250,250,2.0715
,WEST DES MOINES 226,158,155,1.6572
,WAUKEE 1,231,231,2.4858
,CLIVE 6,295,293,2.4858
,WEST DES MOINES 223,158,138,1.6572
,URBANDALE 14,236,236,2.0715
,ADEL 1,94,85,1.2429
,WAUKEE 6,218,218,2.0715
,PERRY 2,96,87,1.6572
,WEST DES MOINES 321,258,243,2.0715
,LINCOLN /WASHINGTON /LINN,30,30,0.4143
