County,Precinct,First Expression,Final Expression,SDE
Adair,1NW ADAIR,6,6,0.0784
,2NE STUART,6,0,0
,5GF GREENFIELD,8,0,0
,Total,20,6,0.0784
Adams,Adams 5,4,4,0.0857
,Adams 4,6,6,0.1714
,Adams 1,5,5,0.0857
,Total,15,15,0.3428
Allamakee,Pct 11 - Waukon 3,8,12,0.2333
,Pct 07 - CN/LF/LS/LS City,8,0,0
,Pct 05 - LT/PC/WV City,2,0,0
,Pct 08 - IA/UC/NA City,6,6,0.0778
,Pct 01 - WL/HV,1,0,0
,Pct 04 - PV City,7,7,0.1556
,Pct 09 - Waukon 1,13,13,0.1556
,Pct 02 - FC/JF/LL/MK/UP,6,0,0
,Total,51,38,0.6223
Appanoose,Pleasant/Franklin,8,8,0.1600
,Washington/Wells,6,7,0.2400
,Union / Udell Township,11,14,0.1600
,Caldwell Township,1,0,0
,Taylor/Chariton,7,10,0.2400
,Walnut,0,0,0
,Johns/Independence,10,11,0.1600
,Vermillion/Douglas/Sharon,8,8,0.0800
,Centerville Ward 2,9,10,0.1600
,Centerville Ward 1,9,14,0.2400
,Centerville Ward 3,11,14,0.2400
,Total,80,96,1.6800
Audubon,Precinct 2,28,38,0.6000
,Precinct 1,17,23,0.3000
,Total,45,61,0.9000
Benton,Fremont-Atkins,28,28,0.6000
,Belle Plaine 1,8,8,0.1500
,Belle Plaine 2,7,7,0.1500
,Bruce-Cedar-Mt Auburn,4,4,0.0750
,Homer-Monroe-Jackson-Garrison,5,5,0.1500
,Iowa-Leroy-Luzerne-Blairstown,12,16,0.3750
,Florence-St Clair-Norway,19,20,0.4500
,Polk-Urbana,21,25,0.4500
,Walford,10,10,0.1500
,Benton-Canton-Shellsburg,28,31,0.6000
,Vinton 3,10,11,0.1500
,Big Grove-Union-Van Horne,7,7,0.0750
,Kane-Keystone,7,8,0.2250
,Eldorado-Newhall,13,16,0.3000
,Vinton 1,22,22,0.3750
,Vinton 2,8,8,0.0750
,Eden-Harrison-Taylor,10,10,0.1500
,Belle Plaine 3,7,9,0.1500
,Total,226,245,4.6500
Black Hawk,CF W2 P2 & CF Twp,14,0,0
,CF W5 P2,30,41,0.6060
,CF W4 P1,18,0,0
,CF W1 P2,30,0,0
,CF W1 P3,24,0,0
,WL 5-3,15,17,0.2020
,WL 3-5,21,23,0.4040
,WL 4-4,17,24,0.6060
,Bennington,0,0,0
,Eagle,1,0,0
,Evansdale W3,6,7,0.2020
,Elk Run Heights & Raymond,6,0,0
,Cedar Orange,13,16,0.4040
,WL 2-1,10,10,0.2020
,WL 2-6,25,26,0.2020
,CF W5 P1,39,42,0.4040
,WL 5-5,32,32,0.4040
,WL 3-2,31,31,0.6060
,WL 3-3,4,0,0
,CF W2 P1,0,0,0
,Poyner P2 Fox Gilbert Jesup,13,14,0.4040
,Poyner P1 & East Wloo,9,14,0.2020
,Barclay Lester Dunkerton,11,18,0.2020
,Evansdale W4,6,7,0.2020
,WL 4-3,10,11,0.4040
,Evansdale W2,2,0,0
,Mt Vernon,9,11,0.2020
,WL 1-6,34,37,0.6060
,Evansdale W1,6,10,0.2020
,WL 2-5,22,25,0.4040
,WL 5-6,19,20,0.4040
,WL 1-2,22,23,0.2020
,CF W2 P3,42,42,0.6060
,CF W3 P3,14,0,0
,WL 5-2,10,14,0.2020
,Total,565,515,8.4840
Boone,Madrid 2nd Ward,4,0,0
,Rural Precinct 6,18,18,0.1900
,Boone 1st Ward,8,0,0
,Madrid 3rd Ward,2,0,0
,Rural Precinct 4,9,0,0
,Ogden,15,20,0.3800
,Rural Precinct 2,0,0,0
,Boone 3rd Ward,16,0,0
,Madrid 1st Ward,2,2,0
,Rural Precinct 1,10,3,0
,Boone 2nd Ward,24,25,0.3800
,Boone 5th Ward,1,0,0
,Rural Precinct 5,5,0,0
,Rural Precinct 3,12,12,0.1900
