County,Precinct,First Expression,Final Expression,SDE
Adair,1NW ADAIR,8,8,0.0784
,2NE STUART,10,15,0.3137
,5GF GREENFIELD,10,12,0.1569
,Total,28,35,0.5490
Adams,Adams 5,5,5,0.1714
,Adams 4,3,3,0.0857
,Adams 1,7,7,0.1714
,Total,15,15,0.4285
Allamakee,Pct 11 - Waukon 3,9,12,0.2333
,Pct 07 - CN/LF/LS/LS City,47,52,0.7000
,Pct 05 - LT/PC/WV City,5,7,0.0778
,Pct 08 - IA/UC/NA City,7,7,0.0778
,Pct 01 - WL/HV,4,4,0.0778
,Pct 04 - PV City,15,15,0.2333
,Pct 09 - Waukon 1,21,27,0.3889
,Pct 02 - FC/JF/LL/MK/UP,11,14,0.2333
,Total,119,138,2.0222
Appanoose,Pleasant/Franklin,10,10,0.1600
,Washington/Wells,1,0,0
,Union / Udell Township,3,6,0.0800
,Caldwell Township,4,7,0.0800
,Taylor/Chariton,10,14,0.2400
,Walnut,8,8,0.1600
,Johns/Independence,3,7,0.0800
,Vermillion/Douglas/Sharon,14,15,0.2400
,Centerville Ward 2,23,23,0.3200
,Centerville Ward 1,25,29,0.5600
,Centerville Ward 3,18,21,0.3200
,Total,119,140,2.2400
Audubon,Precinct 2,8,0,0
,Precinct 1,23,31,0.4000
,Total,31,31,0.4000
Benton,Fremont-Atkins,22,22,0.5250
,Belle Plaine 1,5,5,0.0750
,Belle Plaine 2,5,5,0.0750
,Bruce-Cedar-Mt Auburn,7,7,0.1500
,Homer-Monroe-Jackson-Garrison,3,3,0.0750
,Iowa-Leroy-Luzerne-Blairstown,12,18,0.3750
,Florence-St Clair-Norway,8,9,0.1500
,Polk-Urbana,22,27,0.5250
,Walford,6,7,0.1500
,Benton-Canton-Shellsburg,23,29,0.5250
,Vinton 3,18,19,0.3000
,Big Grove-Union-Van Horne,8,8,0.1500
,Kane-Keystone,3,0,0
,Eldorado-Newhall,5,8,0.1500
,Vinton 1,14,14,0.2250
,Vinton 2,9,9,0.1500
,Eden-Harrison-Taylor,13,15,0.2250
,Belle Plaine 3,6,7,0.1500
,Total,189,212,3.9750
Black Hawk,CF W2 P2 & CF Twp,72,76,0.8080
,CF W5 P2,31,41,0.6060
,CF W4 P1,63,69,0.6060
,CF W1 P2,67,77,0.6060
,CF W1 P3,58,90,0.8080
,WL 5-3,17,19,0.4040
,WL 3-5,19,19,0.4040
,WL 4-4,5,0,0
,Bennington,5,5,0.2020
,Eagle,3,0,0
,Evansdale W3,7,10,0.4040
,Elk Run Heights & Raymond,11,13,0.4040
,Cedar Orange,14,14,0.2020
,WL 2-1,13,19,0.4040
,WL 2-6,30,31,0.4040
,CF W5 P1,51,57,0.6060
,WL 5-5,48,49,0.4040
,WL 3-2,19,19,0.4040
,WL 3-3,2,0,0
,CF W2 P1,20,23,0.2020
,Poyner P2 Fox Gilbert Jesup,18,21,0.6060
,Poyner P1 & East Wloo,10,12,0.2020
,Barclay Lester Dunkerton,15,18,0.4040
,Evansdale W4,13,15,0.2020
,WL 4-3,2,0,0
,Evansdale W2,10,11,0.4040
,Mt Vernon,6,9,0.2020
,WL 1-6,30,37,0.4040
,Evansdale W1,3,0,0
,WL 2-5,24,32,0.6060
,WL 5-6,31,33,0.4040
,WL 1-2,36,38,0.6060
,CF W2 P3,63,69,1.0100
,CF W3 P3,35,42,0.4040
,WL 5-2,10,18,0.4040
,Total,861,986,13.7360
Boone,Madrid 2nd Ward,17,17,0.1900
,Rural Precinct 6,31,31,0.3800
