County,Precinct,First Expression,Final Expression,SDE
Adair,1NW ADAIR,8,8,0.1569
,2NE STUART,9,10,0.1569
,5GF GREENFIELD,26,32,0.3922
,Total,43,50,0.7060
Adams,Adams 5,3,3,0.0857
,Adams 4,4,4,0.1714
,Adams 1,5,5,0.1714
,Total,12,12,0.4285
Allamakee,Pct 11 - Waukon 3,9,9,0.1556
,Pct 07 - CN/LF/LS/LS City,16,30,0.3889
,Pct 05 - LT/PC/WV City,6,6,0.0778
,Pct 08 - IA/UC/NA City,0,0,0
,Pct 01 - WL/HV,6,7,0.1556
,Pct 04 - PV City,0,0,0
,Pct 09 - Waukon 1,9,10,0.1556
,Pct 02 - FC/JF/LL/MK/UP,13,18,0.2333
,Total,59,80,1.1668
Appanoose,Pleasant/Franklin,0,0,0
,Washington/Wells,0,0,0
,Union / Udell Township,2,0,0
,Caldwell Township,0,0,0
,Taylor/Chariton,4,0,0
,Walnut,3,3,0.0800
,Johns/Independence,2,0,0
,Vermillion/Douglas/Sharon,4,8,0.1600
,Centerville Ward 2,9,11,0.1600
,Centerville Ward 1,5,0,0
,Centerville Ward 3,1,0,0
,Total,30,22,0.4000
Audubon,Precinct 2,25,37,0.6000
,Precinct 1,17,18,0.3000
,Total,42,55,0.9000
Benton,Fremont-Atkins,9,0,0
,Belle Plaine 1,0,0,0
,Belle Plaine 2,0,0,0
,Bruce-Cedar-Mt Auburn,5,5,0.0750
,Homer-Monroe-Jackson-Garrison,7,8,0.2250
,Iowa-Leroy-Luzerne-Blairstown,0,0,0
,Florence-St Clair-Norway,0,0,0
,Polk-Urbana,13,14,0.2250
,Walford,11,12,0.2250
,Benton-Canton-Shellsburg,7,0,0
,Vinton 3,8,9,0.1500
,Big Grove-Union-Van Horne,10,10,0.1500
,Kane-Keystone,0,0,0
,Eldorado-Newhall,3,0,0
,Vinton 1,0,0,0
,Vinton 2,8,9,0.1500
,Eden-Harrison-Taylor,10,10,0.1500
,Belle Plaine 3,0,0,0
,Total,91,77,1.3500
Black Hawk,CF W2 P2 & CF Twp,44,58,0.6060
,CF W5 P2,19,0,0
,CF W4 P1,36,44,0.4040
,CF W1 P2,56,76,0.6060
,CF W1 P3,22,0,0
,WL 5-3,1,1,0
,WL 3-5,0,0,0
,WL 4-4,2,0,0
,Bennington,1,1,0
,Eagle,6,1,0.2020
,Evansdale W3,3,3,0.2020
,Elk Run Heights & Raymond,12,19,0.4040
,Cedar Orange,0,0,0
,WL 2-1,8,0,0
,WL 2-6,31,36,0.4040
,CF W5 P1,49,55,0.6060
,WL 5-5,49,52,0.6060
,WL 3-2,2,0,0
,WL 3-3,3,0,0
,CF W2 P1,5,0,0
,Poyner P2 Fox Gilbert Jesup,0,0,0
,Poyner P1 & East Wloo,1,0,0
,Barclay Lester Dunkerton,4,0,0
,Evansdale W4,1,0,0
,WL 4-3,0,0,0
,Evansdale W2,1,0,0
,Mt Vernon,6,7,0.2020
,WL 1-6,32,41,0.6060
,Evansdale W1,1,0,0
,WL 2-5,12,0,0
,WL 5-6,18,24,0.4040
,WL 1-2,0,0,0
,CF W2 P3,67,69,1.0100
,CF W3 P3,18,27,0.4040
,WL 5-2,2,0,0
,Total,512,514,6.6660
Boone,Madrid 2nd Ward,6,11,0.1900
,Rural Precinct 6,19,21,0.1900
,Boone 1st Ward,1,0,0
,Madrid 3rd Ward,1,0,0
,Rural Precinct 4,23,25,0.1900
,Ogden,8,0,0
,Rural Precinct 2,26,26,0.3800
,Boone 3rd Ward,20,25,0.3800
,Madrid 1st Ward,1,0,0
,Rural Precinct 1,16,20,0.1900
,Boone 2nd Ward,20,20,0.1900
,Boone 5th Ward,10,11,0.3800
,Rural Precinct 5,12,13,0.1900
