County,Precinct,First Expression,Final Expression,SDE
Adair,1NW ADAIR,9,9,0.1569
,2NE STUART,10,10,0.2353
,5GF GREENFIELD,16,21,0.3137
,Total,35,40,0.7059
Adams,Adams 5,3,3,0.0857
,Adams 4,2,0,0
,Adams 1,7,7,0.1714
,Total,12,10,0.2571
Allamakee,Pct 11 - Waukon 3,6,7,0.0778
,Pct 07 - CN/LF/LS/LS City,16,21,0.3111
,Pct 05 - LT/PC/WV City,5,5,0.0778
,Pct 08 - IA/UC/NA City,6,6,0.0778
,Pct 01 - WL/HV,5,5,0.0778
,Pct 04 - PV City,6,6,0.0778
,Pct 09 - Waukon 1,0,0,0
,Pct 02 - FC/JF/LL/MK/UP,13,13,0.2333
,Total,57,63,0.9334
Appanoose,Pleasant/Franklin,3,5,0.0800
,Washington/Wells,3,3,0.0800
,Union / Udell Township,4,4,0.0800
,Caldwell Township,2,0,0
,Taylor/Chariton,0,0,0
,Walnut,2,0,0
,Johns/Independence,2,0,0
,Vermillion/Douglas/Sharon,2,0,0
,Centerville Ward 2,20,21,0.2400
,Centerville Ward 1,11,12,0.2400
,Centerville Ward 3,12,12,0.2400
,Total,61,57,0.9600
Audubon,Precinct 2,14,17,0.3000
,Precinct 1,17,18,0.2000
,Total,31,35,0.5000
Benton,Fremont-Atkins,20,20,0.5250
,Belle Plaine 1,6,6,0.0750
,Belle Plaine 2,7,7,0.0750
,Bruce-Cedar-Mt Auburn,4,4,0.0750
,Homer-Monroe-Jackson-Garrison,1,0,0
,Iowa-Leroy-Luzerne-Blairstown,3,0,0
,Florence-St Clair-Norway,11,14,0.3000
,Polk-Urbana,13,17,0.3000
,Walford,9,10,0.2250
,Benton-Canton-Shellsburg,12,14,0.2250
,Vinton 3,12,12,0.2250
,Big Grove-Union-Van Horne,12,12,0.2250
,Kane-Keystone,6,11,0.2250
,Eldorado-Newhall,10,10,0.2250
,Vinton 1,9,9,0.1500
,Vinton 2,7,8,0.1500
,Eden-Harrison-Taylor,7,9,0.1500
,Belle Plaine 3,7,7,0.1500
,Total,156,170,3.3000
Black Hawk,CF W2 P2 & CF Twp,80,87,1.0100
,CF W5 P2,43,57,0.8080
,CF W4 P1,89,91,1.0100
,CF W1 P2,98,103,1.0100
,CF W1 P3,141,154,1.4140
,WL 5-3,52,56,0.8080
,WL 3-5,59,59,1.0100
,WL 4-4,34,34,0.8080
,Bennington,3,3,0
,Eagle,0,0,0
,Evansdale W3,0,0,0
,Elk Run Heights & Raymond,16,16,0.4040
,Cedar Orange,15,16,0.4040
,WL 2-1,18,19,0.4040
,WL 2-6,26,28,0.4040
,CF W5 P1,43,45,0.4040
,WL 5-5,33,35,0.4040
,WL 3-2,22,22,0.4040
,WL 3-3,10,10,0.4040
,CF W2 P1,37,39,0.4040
,Poyner P2 Fox Gilbert Jesup,12,19,0.4040
,Poyner P1 & East Wloo,10,15,0.2020
,Barclay Lester Dunkerton,10,13,0.2020
,Evansdale W4,6,6,0.2020
,WL 4-3,10,11,0.2020
,Evansdale W2,7,10,0.2020
,Mt Vernon,7,10,0.2020
,WL 1-6,34,39,0.6060
,Evansdale W1,10,18,0.6060
,WL 2-5,29,34,0.6060
,WL 5-6,33,41,0.6060
,WL 1-2,38,39,0.6060
,CF W2 P3,46,50,0.6060
,CF W3 P3,50,52,0.6060
,WL 5-2,33,34,0.6060
,Total,"1,154","1,265",17.9780
Boone,Madrid 2nd Ward,14,17,0.3800
,Rural Precinct 6,18,26,0.1900
,Boone 1st Ward,41,41,0.7600
,Madrid 3rd Ward,9,10,0.1900
,Rural Precinct 4,20,25,0.3800
,Ogden,19,23,0.3800
,Rural Precinct 2,18,19,0.1900
,Boone 3rd Ward,38,44,0.5700
,Madrid 1st Ward,16,20,0.3800
,Rural Precinct 1,20,21,0.1900
,Boone 2nd Ward,21,22,0.3800
,Boone 5th Ward,22,24,0.5700
,Rural Precinct 5,3,0,0
,Rural Precinct 3,5,0,0
,Total,264,292,4.5600
Bremer,WAVERLY WARD III,43,55,0.4533
,CITY OF TRIPOLI/FREMONT,13,17,0.2267
,WAVERLY WARD II/NE 1/4 SEC 36 WASHINGTON TWP,23,25,0.2267
,WAVERLY WARD IV,24,25,0.2267
,WAVERLY WARD I/E WASHINGTON TWP,29,29,0.2267
,CITY OF SUMNER/SUMNER TWP/DAYTON TWP,13,13,0.2267
,CITY OF JANESVILLE/JACKSON TWP,7,0,0
,WAVERLY WARD V/W WASHINGTON TWP,22,0,0
,CITY OF FREDERIKA- FREDERIKA & LEROY TWP,0,0,0
,CITY OF DENVER/JEFFERSON TWP,7,0,0
,LAFAYETTE TWP/WARREN TWPS,0,0,0
,Total,181,164,1.5868
Buchanan,Jesup,14,14,0.2737
,Winthrop,5,0,0
,Middlefield-Newton,0,0,0
,Perry-Westburg,4,0,0
,Independence 1st Ward,7,0,0
,Quasqueton,9,9,0.1368
,Independence 4th Ward,9,9,0.1368
,Brandon,6,7,0.1368
,Rowley,6,10,0.1368
,Aurora,6,6,0.1368
,Fairbank,6,6,0.1368
,Total,72,61,1.0945
Buena Vista,ALTA NOKOMIS ELK,16,18,0.4000
,STORM LAKE 01,13,13,0.4000
,STORM LAKE 02,16,18,0.4000
,STORM LAKE 04,26,33,0.4000
,NEWELL NEWELL PROVIDENCE,9,12,0.2000
,SRL;LGB;RELS;MAP,7,8,0.2000
,Total,87,102,2.0000
Butler,5-AP,7,7,0.1167
,2-CL,16,17,0.3500
,4-AL,10,11,0.1167
,6-SR,22,22,0.3500
,8-NH,10,13,0.1167
,1-GR,15,15,0.2333
,3-DU,9,9,0.2333
,7-PB,14,15,0.2333
,Total,103,109,1.7500
Calhoun,Sherman,0,0,0
,Greenfield & Lincoln 2,0,0,0
,Center- Logan- TL- GA- L,0,0,0
,Cedar,0,1,0
,Rockwell City,9,10,0.2500
,Reading,2,2,0.0833
,Butler- Williams,5,5,0.0833
,Calhoun- Jackson- EG- LK,10,11,0.1667
,Lincoln 1,6,8,0.1667
,Total,32,37,0.7500
Carroll,Glidden-Richland,11,11,0.3300
,Union,11,11,0.1100
,Carroll Ward Three &amp; S1/2 Maple River Twp,20,29,0.5500
,Carroll Ward Four,16,19,0.3300
,Wheatland-Kniest,4,0,0
,Carroll Ward One,7,3,0
,Eden,1,0,0
,Ewoldt,4,0,0
,Pleasant Valley-Newton,0,0,0
,Sheridan-Grant-Jasper,0,0,0
,Total,74,73,1.3200
Cass,Atlantic 3,2,0,0
