County,Precinct,First Expression,Final Expression,SDE
Adair,1NW ADAIR,0,0,0
,2NE STUART,7,7,0.1569
,5GF GREENFIELD,0,0,0
,Total,7,7,0.1569
Adams,Adams 5,0,0,0
,Adams 4,0,0,0
,Adams 1,0,0,0
,Total,0,0,0
Allamakee,Pct 11 - Waukon 3,2,0,0
,Pct 07 - CN/LF/LS/LS City,6,0,0
,Pct 05 - LT/PC/WV City,0,0,0
,Pct 08 - IA/UC/NA City,9,9,0.0778
,Pct 01 - WL/HV,0,0,0
,Pct 04 - PV City,0,0,0
,Pct 09 - Waukon 1,0,0,0
,Pct 02 - FC/JF/LL/MK/UP,8,0,0
,Total,25,9,0.0778
Appanoose,Pleasant/Franklin,0,0,0
,Washington/Wells,0,0,0
,Union / Udell Township,2,0,0
,Caldwell Township,3,4,0.0800
,Taylor/Chariton,5,5,0.0800
,Walnut,2,3,0.0800
,Johns/Independence,2,0,0
,Vermillion/Douglas/Sharon,1,0,0
,Centerville Ward 2,0,0,0
,Centerville Ward 1,0,0,0
,Centerville Ward 3,0,0,0
,Total,15,12,0.2400
Audubon,Precinct 2,3,0,0
,Precinct 1,8,0,0
,Total,11,0,0
Benton,Fremont-Atkins,4,0,0
,Belle Plaine 1,0,0,0
,Belle Plaine 2,0,0,0
,Bruce-Cedar-Mt Auburn,0,0,0
,Homer-Monroe-Jackson-Garrison,0,0,0
,Iowa-Leroy-Luzerne-Blairstown,3,0,0
,Florence-St Clair-Norway,0,0,0
,Polk-Urbana,3,0,0
,Walford,0,0,0
,Benton-Canton-Shellsburg,4,0,0
,Vinton 3,0,0,0
,Big Grove-Union-Van Horne,0,0,0
,Kane-Keystone,0,0,0
,Eldorado-Newhall,1,0,0
,Vinton 1,0,0,0
,Vinton 2,1,0,0
,Eden-Harrison-Taylor,5,0,0
,Belle Plaine 3,1,0,0
,Total,22,0,0
Black Hawk,CF W2 P2 & CF Twp,9,0,0
,CF W5 P2,5,0,0
,CF W4 P1,0,0,0
,CF W1 P2,11,0,0
,CF W1 P3,4,0,0
,WL 5-3,4,0,0
,WL 3-5,2,0,0
,WL 4-4,2,0,0
,Bennington,4,4,0
,Eagle,0,0,0
,Evansdale W3,1,0,0
,Elk Run Heights & Raymond,6,0,0
,Cedar Orange,3,0,0
,WL 2-1,0,0,0
,WL 2-6,5,0,0
,CF W5 P1,9,0,0
,WL 5-5,9,0,0
,WL 3-2,0,0,0
,WL 3-3,7,10,0.4040
,CF W2 P1,0,0,0
,Poyner P2 Fox Gilbert Jesup,1,0,0
,Poyner P1 & East Wloo,2,0,0
,Barclay Lester Dunkerton,9,10,0.2020
,Evansdale W4,0,0,0
,WL 4-3,1,0,0
,Evansdale W2,0,0,0
,Mt Vernon,4,0,0
,WL 1-6,0,0,0
,Evansdale W1,4,0,0
,WL 2-5,3,0,0
,WL 5-6,1,0,0
,WL 1-2,0,0,0
,CF W2 P3,0,0,0
,CF W3 P3,1,0,0
,WL 5-2,4,0,0
,Total,111,24,0.6060
Boone,Madrid 2nd Ward,0,0,0
,Rural Precinct 6,0,0,0
,Boone 1st Ward,9,0,0
,Madrid 3rd Ward,3,0,0
,Rural Precinct 4,5,0,0
,Ogden,0,0,0
,Rural Precinct 2,18,18,0.1900
,Boone 3rd Ward,0,0,0
,Madrid 1st Ward,0,0,0
,Rural Precinct 1,0,0,0
,Boone 2nd Ward,0,0,0
,Boone 5th Ward,1,0,0
,Rural Precinct 5,0,0,0
,Rural Precinct 3,0,0,0
,Total,36,18,0.1900
Bremer,WAVERLY WARD III,0,0,0
,CITY OF TRIPOLI/FREMONT,2,0,0
,WAVERLY WARD II/NE 1/4 SEC 36 WASHINGTON TWP,0,0,0
,WAVERLY WARD IV,0,0,0
,WAVERLY WARD I/E WASHINGTON TWP,2,0,0
,CITY OF SUMNER/SUMNER TWP/DAYTON TWP,0,0,0
,CITY OF JANESVILLE/JACKSON TWP,3,0,0
,WAVERLY WARD V/W WASHINGTON TWP,4,0,0
,CITY OF FREDERIKA- FREDERIKA & LEROY TWP,2,2,0
,CITY OF DENVER/JEFFERSON TWP,5,0,0
,LAFAYETTE TWP/WARREN TWPS,0,0,0
,Total,18,2,0
Buchanan,Jesup,0,0,0
,Winthrop,1,0,0
,Middlefield-Newton,0,0,0
,Perry-Westburg,0,0,0
,Independence 1st Ward,2,0,0
,Quasqueton,0,0,0
,Independence 4th Ward,0,0,0
,Brandon,2,0,0
,Rowley,0,0,0
,Aurora,0,0,0
,Fairbank,0,0,0
,Total,5,0,0
Buena Vista,ALTA NOKOMIS ELK,0,0,0
,STORM LAKE 01,0,0,0
,STORM LAKE 02,0,0,0
,STORM LAKE 04,0,0,0
,NEWELL NEWELL PROVIDENCE,0,0,0
,SRL;LGB;RELS;MAP,9,9,0.2000
,Total,9,9,0.2000
Butler,5-AP,0,0,0
,2-CL,3,0,0
,4-AL,0,0,0
,6-SR,0,0,0
,8-NH,0,0,0
,1-GR,0,0,0
,3-DU,1,0,0
,7-PB,0,0,0
,Total,4,0,0
Calhoun,Sherman,0,0,0
,Greenfield & Lincoln 2,0,0,0
,Center- Logan- TL- GA- L,0,0,0
,Cedar,0,0,0
,Rockwell City,0,0,0
,Reading,0,0,0
,Butler- Williams,0,0,0
,Calhoun- Jackson- EG- LK,0,0,0
,Lincoln 1,1,0,0
,Total,1,0,0
Carroll,Glidden-Richland,0,0,0
,Union,0,0,0
,Carroll Ward Three &amp; S1/2 Maple River Twp,2,0,0
,Carroll Ward Four,1,0,0
,Wheatland-Kniest,1,0,0
,Carroll Ward One,0,0,0
,Eden,0,0,0
,Ewoldt,2,0,0
,Pleasant Valley-Newton,0,0,0
,Sheridan-Grant-Jasper,0,0,0
,Total,6,0,0
Cass,Atlantic 3,0,0,0
,Noble- Pleasant Twp/Griswold,0,0,0
,Brighton- Grove- Pymosa- Washington Twp/Marne,0,0,0
,Enda- Victoria Twp,0,0,0
,Benton- Franklin Twp/Wiota,0,0,0
,Bear Grove- Cass Twp/Lewis,0,0,0
,Massena Twp/Massena City,0,0,0
,Atlantic 4,0,0,0
,Grant- Lincoln Twp/Anita,0,0,0
,Union Twp/Cumberland,0,0,0
,Atlantic 1,0,0,0
,Total,0,0,0
Cedar,WEST BRANCH 1,0,0,0
,CASS/CENTER/IOWA/ROCHESTER,3,0,0
,FARMINGTON/SUGAR CREEK,0,0,0
,MASSILLON/SPRINGFIELD,0,0,0
,LINN/PIONEER,3,0,0
,GOWER/SPRINGDALE,0,0,0
,FREMONT/RED OAK,3,0,0
,DAYTON/FAIRFIELD,2,0,0
,TIPTON 3,1,0,0
,TIPTON 2,0,0,0
,Total,12,0,0
Cerro Gordo,Clear Lake - Grant - Union,0,0,0
,Mason City W-1 P-1,0,0,0
,Mason City W-3 P-1,0,0,0
,Mason City W-4 P-2,0,0,0
,Mason City W-3 P-3,0,0,0
,Clear Lake - Ward 2,1,0,0
,Clear Lake - Ward 1,7,0,0
,Geneseo Twp Pct,0,0,0
,Mason City W-3 P-2,0,0,0
,Mason City W-4 P-3,2,0,0
,Clear Lake - Ward 3,0,0,0
,Mason City W-1 P-2,0,0,0
,Grimes - Thornton Pct,0,0,0
,Mason City W-2 P-2,2,0,0
,Mason City W-1 P-3,0,0,0
