County,Precinct,First Expression,Final Expression,SDE
Adair,1NW ADAIR,40,40,0.6275000000000001
,2NE STUART,43,43,0.8628
,5GF GREENFIELD,78,78,1.0197
,Total,161,161,2.5099999999999993
Adams,Adams 5,15,15,0.4285
,Adams 4,18,18,0.5999
,Adams 1,29,29,0.6856
,Total,62,62,1.714
Allamakee,Pct 11 - Waukon 3,41,41,0.7
,Pct 07 - CN/LF/LS/LS City,105,103,1.4
,Pct 05 - LT/PC/WV City,23,23,0.3112
,Pct 08 - IA/UC/NA City,37,37,0.38899999999999996
,Pct 01 - WL/HV,16,16,0.3112
,Pct 04 - PV City,38,38,0.6223
,Pct 09 - Waukon 1,53,53,0.7001
,Pct 02 - FC/JF/LL/MK/UP,71,71,1.0888
,Total,384,382,5.522600000000001
Appanoose,Pleasant/Franklin,24,24,0.4
,Washington/Wells,10,10,0.32
,Union / Udell Township,26,26,0.32
,Caldwell Township,13,13,0.16
,Taylor/Chariton,29,29,0.5599999999999999
,Walnut,18,18,0.4
,Johns/Independence,25,25,0.32
,Vermillion/Douglas/Sharon,31,31,0.48
,Centerville Ward 2,65,65,0.88
,Centerville Ward 1,57,57,1.04
,Centerville Ward 3,49,48,0.8
,Total,347,346,5.680000000000001
Audubon,Precinct 2,92,92,1.5
,Precinct 1,111,111,1.5
,Total,203,203,3.0
Benton,Fremont-Atkins,94,70,1.65
,Belle Plaine 1,25,25,0.44999999999999996
,Belle Plaine 2,23,23,0.375
,Bruce-Cedar-Mt Auburn,20,20,0.375
,Homer-Monroe-Jackson-Garrison,17,16,0.44999999999999996
,Iowa-Leroy-Luzerne-Blairstown,35,34,0.75
,Florence-St Clair-Norway,44,43,0.8999999999999999
,Polk-Urbana,85,85,1.5000000000000002
,Walford,39,39,0.75
,Benton-Canton-Shellsburg,89,89,1.6500000000000001
,Vinton 3,52,52,0.825
,Big Grove-Union-Van Horne,44,44,0.6749999999999999
,Kane-Keystone,22,19,0.45
,Eldorado-Newhall,40,40,0.7499999999999999
,Vinton 1,58,58,0.9
,Vinton 2,40,40,0.6
,Eden-Harrison-Taylor,53,53,0.75
,Belle Plaine 3,23,23,0.44999999999999996
,Total,803,773,14.249999999999998
Black Hawk,CF W2 P2 & CF Twp,273,263,2.8280000000000003
,CF W5 P2,186,180,2.626
,CF W4 P1,276,267,2.626
,CF W1 P2,353,340,3.0300000000000002
,CF W1 P3,352,329,3.0300000000000002
,WL 5-3,98,98,1.4140000000000001
,WL 3-5,121,120,2.222
,WL 4-4,60,58,1.4140000000000001
,Bennington,16,16,0.202
,Eagle,12,1,0.202
,Evansdale W3,20,20,0.808
,Elk Run Heights & Raymond,62,59,1.4140000000000001
,Cedar Orange,67,67,1.4140000000000001
,WL 2-1,60,60,1.2120000000000002
,WL 2-6,152,149,1.818
,CF W5 P1,258,256,2.626
,WL 5-5,200,200,2.02
,WL 3-2,90,88,1.818
,WL 3-3,46,39,1.4140000000000001
,CF W2 P1,88,88,0.808
,Poyner P2 Fox Gilbert Jesup,58,54,1.4140000000000001
,Poyner P1 & East Wloo,41,41,0.6060000000000001
,Barclay Lester Dunkerton,59,59,1.01
,Evansdale W4,35,35,0.808
,WL 4-3,35,35,1.01
,Evansdale W2,22,21,0.6060000000000001
,Mt Vernon,38,37,0.808
,WL 1-6,156,154,2.222
,Evansdale W1,28,28,0.808
,WL 2-5,110,110,1.818
,WL 5-6,126,118,1.818
,WL 1-2,132,127,1.818
,CF W2 P3,273,273,3.838
,CF W3 P3,166,166,1.818
,WL 5-2,85,85,1.616
,Total,4154,4041,56.964000000000006
Boone,Madrid 2nd Ward,45,45,0.76
,Rural Precinct 6,114,114,1.14
,Boone 1st Ward,109,105,1.71
,Madrid 3rd Ward,39,39,0.5700000000000001
,Rural Precinct 4,115,115,1.33
,Ogden,88,88,1.33
,Rural Precinct 2,119,119,1.3299999999999998
,Boone 3rd Ward,165,165,1.9
,Madrid 1st Ward,41,41,0.76
,Rural Precinct 1,95,95,0.95
,Boone 2nd Ward,130,130,1.9
,Boone 5th Ward,72,72,1.9
,Rural Precinct 5,34,31,0.5700000000000001
,Rural Precinct 3,51,51,0.5700000000000001
,Total,1217,1210,16.72
Bremer,WAVERLY WARD III,176,176,1.1333
,CITY OF TRIPOLI/FREMONT,55,55,1.1334
,WAVERLY WARD II/NE 1/4 SEC 36 WASHINGTON TWP,148,143,1.5866
,WAVERLY WARD IV,163,161,1.8134000000000001
,WAVERLY WARD I/E WASHINGTON TWP,164,168,2.04
,CITY OF SUMNER/SUMNER TWP/DAYTON TWP,66,66,1.3599999999999999
,CITY OF JANESVILLE/JACKSON TWP,64,64,1.1334
,WAVERLY WARD V/W WASHINGTON TWP,210,210,2.04
,CITY OF FREDERIKA- FREDERIKA & LEROY TWP,16,16,0.2267
,CITY OF DENVER/JEFFERSON TWP,123,123,2.0399
,LAFAYETTE TWP/WARREN TWPS,36,36,0.9068
,Total,1221,1218,15.4135
Buchanan,Jesup,87,87,1.5053
,Winthrop,64,64,0.9579
,Middlefield-Newton,23,22,0.4104
,Perry-Westburg,31,27,0.8210000000000001
,Independence 1st Ward,91,81,1.6421000000000001
,Quasqueton,56,56,0.8209000000000001
,Independence 4th Ward,48,48,0.821
,Brandon,36,35,0.5472
,Rowley,36,36,0.6841
,Aurora,38,38,0.6841
,Fairbank,39,38,0.6841
,Total,549,532,9.5781
Buena Vista,ALTA NOKOMIS ELK,70,69,1.0
,STORM LAKE 01,39,38,1.4000000000000001
,STORM LAKE 02,47,44,0.8
,STORM LAKE 04,126,126,1.5999999999999999
,NEWELL NEWELL PROVIDENCE,32,22,0.4
,SRL;LGB;RELS;MAP,50,50,1.0
,Total,364,349,6.2
Butler,5-AP,30,30,0.5834
,2-CL,67,67,1.2832999999999999
,4-AL,41,41,0.4668
,6-SR,75,75,1.2832000000000001
,8-NH,50,50,0.5833
,1-GR,86,86,1.1666
,3-DU,18,18,0.4666
,7-PB,61,61,1.1665
,Total,428,428,6.999699999999999
Calhoun,Sherman,15,15,0.2499
,Greenfield & Lincoln 2,9,9,0.1667
,Center- Logan- TL- GA- L,21,21,0.41659999999999997
,Cedar,5,5,0.0833
,Rockwell City,41,41,1.0834000000000001
,Reading,12,12,0.2499
,Butler- Williams,31,31,0.49999999999999994
,Calhoun- Jackson- EG- LK,67,67,1.25
,Lincoln 1,40,39,0.8333999999999999
,Total,241,240,4.8332
Carroll,Glidden-Richland,32,32,0.77
,Union,64,64,0.77
,Carroll Ward Three &amp; S1/2 Maple River Twp,86,85,1.4300000000000002
,Carroll Ward Four,83,83,1.4300000000000002
,Wheatland-Kniest,27,27,0.44
,Carroll Ward One,81,81,1.54
,Eden,20,20,0.22
,Ewoldt,39,39,0.8800000000000001
,Pleasant Valley-Newton,16,16,0.33
,Sheridan-Grant-Jasper,27,27,0.55
,Total,475,474,8.36
Cass,Atlantic 3,38,36,0.6
,Noble- Pleasant Twp/Griswold,41,41,0.6
,Brighton- Grove- Pymosa- Washington Twp/Marne,25,25,0.48
,Enda- Victoria Twp,5,5,0.12
,Benton- Franklin Twp/Wiota,12,12,0.24
,Bear Grove- Cass Twp/Lewis,27,27,0.36
,Massena Twp/Massena City,8,8,0.24
,Atlantic 4,41,41,0.72
,Grant- Lincoln Twp/Anita,45,45,0.72
,Union Twp/Cumberland,5,5,0.12
,Atlantic 1,41,41,0.48
,Total,288,286,4.68
Cedar,WEST BRANCH 1,208,208,2.4
,CASS/CENTER/IOWA/ROCHESTER,84,73,1.3715
,FARMINGTON/SUGAR CREEK,70,61,1.3715
,MASSILLON/SPRINGFIELD,46,45,0.6856
,LINN/PIONEER,84,79,1.2
,GOWER/SPRINGDALE,112,112,1.2
,FREMONT/RED OAK,26,26,0.5142
,DAYTON/FAIRFIELD,43,42,0.6857
,TIPTON 3,62,62,0.857
,TIPTON 2,62,59,0.6856
,Total,797,767,10.9711
Cerro Gordo,Clear Lake - Grant - Union,86,86,1.24
,Mason City W-1 P-1,87,87,1.4171
,Mason City W-3 P-1,122,122,1.9485999999999999
,Mason City W-4 P-2,57,56,1.5941999999999998
,Mason City W-3 P-3,144,142,2.48
,Clear Lake - Ward 2,135,133,1.9486
,Clear Lake - Ward 1,98,99,1.5941
,Geneseo Twp Pct,31,31,0.8856999999999999
,Mason City W-3 P-2,74,74,1.4171
,Mason City W-4 P-3,106,100,1.9486
,Clear Lake - Ward 3,93,91,1.5943
,Mason City W-1 P-2,101,101,1.7715
,Grimes - Thornton Pct,10,10,0.1771
,Mason City W-2 P-2,171,161,2.3029
,Mason City W-1 P-3,157,157,1.9485999999999999
,Portland - Owen - Dougherty,31,29,0.5313
,Lime Creek / Mason N Twps,29,29,0.3542
,Lake / Lincoln Twps Pct,22,22,0.3542
,Mt Vernon - Pl Valley Twps,15,15,0.3542
,Total,1569,1545,25.8623
Cherokee,#1 Aurelia,38,38,0.8728
,#3 Quimby,25,25,0.5455
,#5 Cherokee Ward 1,62,59,1.091
,Total,125,122,2.5093
Chickasaw,New Hampton Rural,18,18,0.35000000000000003
,Washington 1 Township,15,15,0.21000000000000002
,Jacksonville-Utica,12,12,0.28
,Chickasaw,15,15,0.28
,Bradford,59,59,1.26
,Dresden-Fredericksburg,44,44,0.84
,Stapleton,30,30,0.56
,Deerfield-Washington 2,21,21,0.42000000000000004
,City of New Hampton Ward One,36,36,0.63
,City of New Hampton Ward Two,21,21,0.49000000000000005
,Total,271,271,5.32
Clarke,Woodburn Precinct,17,16,0.24
,Middle Precinct,16,16,0.48000000000000004
,Osceola 1st Ward Precinct,35,35,0.64
,North East Precinct,40,40,0.7200000000000001
,Osceola 3rd Ward Precinct,76,76,0.8
,Osceola 2nd Ward Precinct,43,43,0.64
,Total,227,226,3.52
Clay,Spencer Ward 3,81,81,1.1295
,Spencer Ward 5,71,71,1.2237
,Spencer Ward 4,95,93,1.2236
,Lincoln-Clay,17,15,0.3764
,Spencer Ward 1,64,64,0.9412
,Spencer Ward 2,70,66,1.1295
,Garfield-Herdland,16,14,0.1882
,Logan-Gillett Grove,11,11,0.1882
,Summit-Riverton-Sioux-Meadow,35,35,0.6587999999999999
,Total,460,450,7.0591
Clayton,BUENA VISTA,8,8,0.1667
,COX CREEK-SPERRY,25,25,0.5001
,READ,5,5,0.1667
,LODOMILLO,16,12,0.3334
,BOARDMAN-HIGHLAND,135,129,1.4998999999999998
,MENDON,80,80,1.3333
,JEFFERSON-MILLVILLE,119,119,2.0
,CASS,63,59,0.8333999999999999
,ELK-MALLORY-VOLGA,31,31,0.5001
,GIARD-LUANA-MONONA,72,72,1.1668
,FARMERSBURG-WAGNER,29,29,0.5001
,Total,583,569,9.0005
Clinton,ORANGE GRAND MOUND,28,28,0.6642
,SPRING ROCK WHEATLAND,26,25,0.6642
,CLINTON 4-2,114,106,2.2143
,CLINTON 3-2,153,149,2.6572
,WELTON WASHINGTON WELTON,29,29,0.6642
,CLINTON 1-2,83,83,1.993
,CENTER TWP,14,14,0.2214
,CLINTON 2-2,172,168,2.6572
,CLINTON 3-1,161,158,2.2144
,LIBERTY TORONTO,13,13,0.2214
,WATERFORD CHARLOTTE,22,22,0.2214
,SHARON LOST NATION,21,21,0.2214
,LOW MOOR,6,6,0.2214
,EDEN CAMANCHE TWP,22,21,0.2214
,OLIVE GRANT CALAMUS,31,31,0.4428
,DEEP CREEK GOOSE LAKE,12,12,0.4428
,BLOOMFIELD BROOKFIELD DEL,33,33,0.6642
,CLINTON 1-1,66,66,1.5501
,CLINTON 4-1,137,135,2.2145
,CAMANCHE 2,56,55,1.5501
,CLINTON 2-1,90,80,1.5501
,DEWITT 1,100,100,1.7714
,CAMANCHE 1,68,66,1.7716
,DEWITT 2,152,150,2.2144
,Total,1609,1571,29.2291
Crawford,SRK,20,20,0.44999999999999996
,Southeast,34,33,0.75
,Denison Ward 1,84,84,0.9
,Denison Ward 3-Goodrich Twp,62,62,1.2
,Northeast,20,20,0.6
,Total,220,219,3.9
