County,Precinct,First Expression,Final Expression,SDE
Adair,1NW ADAIR,9,9,0.1569
,2NE STUART,0,0,0
,5GF GREENFIELD,6,0,0
,Total,15,9,0.1569
Adams,Adams 5,0,0,0
,Adams 4,3,5,0.1714
,Adams 1,5,5,0.0857
,Total,8,10,0.2571
Allamakee,Pct 11 - Waukon 3,0,0,0
,Pct 07 - CN/LF/LS/LS City,5,0,0
,Pct 05 - LT/PC/WV City,4,5,0.0778
,Pct 08 - IA/UC/NA City,9,9,0.0778
,Pct 01 - WL/HV,0,0,0
,Pct 04 - PV City,0,0,0
,Pct 09 - Waukon 1,7,0,0
,Pct 02 - FC/JF/LL/MK/UP,11,11,0.1556
,Total,36,25,0.3112
Appanoose,Pleasant/Franklin,3,0,0
,Washington/Wells,0,0,0
,Union / Udell Township,2,0,0
,Caldwell Township,3,0,0
,Taylor/Chariton,3,0,0
,Walnut,0,0,0
,Johns/Independence,6,7,0.0800
,Vermillion/Douglas/Sharon,2,0,0
,Centerville Ward 2,3,0,0
,Centerville Ward 1,7,0,0
,Centerville Ward 3,6,0,0
,Total,35,7,0.0800
Audubon,Precinct 2,12,0,0
,Precinct 1,20,21,0.3000
,Total,32,21,0.3000
Benton,Fremont-Atkins,8,0,0
,Belle Plaine 1,6,6,0.1500
,Belle Plaine 2,4,4,0.0750
,Bruce-Cedar-Mt Auburn,0,0,0
,Homer-Monroe-Jackson-Garrison,1,0,0
,Iowa-Leroy-Luzerne-Blairstown,3,0,0
,Florence-St Clair-Norway,3,0,0
,Polk-Urbana,10,0,0
,Walford,0,0,0
,Benton-Canton-Shellsburg,15,15,0.3000
,Vinton 3,1,0,0
,Big Grove-Union-Van Horne,7,7,0.0750
,Kane-Keystone,3,0,0
,Eldorado-Newhall,6,6,0.0750
,Vinton 1,12,12,0.1500
,Vinton 2,6,6,0.0750
,Eden-Harrison-Taylor,8,9,0.0750
,Belle Plaine 3,1,0,0
,Total,94,65,0.9750
Black Hawk,CF W2 P2 & CF Twp,38,42,0.4040
,CF W5 P2,38,41,0.6060
,CF W4 P1,61,63,0.6060
,CF W1 P2,75,84,0.8080
,CF W1 P3,75,85,0.8080
,WL 5-3,9,5,0
,WL 3-5,19,19,0.4040
,WL 4-4,0,0,0
,Bennington,0,0,0
,Eagle,1,0,0
,Evansdale W3,2,0,0
,Elk Run Heights & Raymond,11,11,0.2020
,Cedar Orange,17,19,0.4040
,WL 2-1,11,11,0.2020
,WL 2-6,26,28,0.4040
,CF W5 P1,53,57,0.6060
,WL 5-5,27,31,0.2020
,WL 3-2,16,16,0.4040
,WL 3-3,10,11,0.4040
,CF W2 P1,18,19,0.2020
,Poyner P2 Fox Gilbert Jesup,7,0,0
,Poyner P1 & East Wloo,5,0,0
,Barclay Lester Dunkerton,6,0,0
,Evansdale W4,4,7,0.2020
,WL 4-3,5,6,0.2020
,Evansdale W2,2,0,0
,Mt Vernon,5,0,0
,WL 1-6,21,0,0
,Evansdale W1,4,0,0
,WL 2-5,15,19,0.2020
,WL 5-6,14,0,0
,WL 1-2,27,27,0.4040
,CF W2 P3,43,43,0.6060
,CF W3 P3,40,45,0.4040
,WL 5-2,19,19,0.4040
,Total,724,708,9.0900
Boone,Madrid 2nd Ward,3,0,0
,Rural Precinct 6,18,18,0.1900
,Boone 1st Ward,20,25,0.3800
,Madrid 3rd Ward,10,12,0.1900
,Rural Precinct 4,26,27,0.3800
,Ogden,8,0,0
,Rural Precinct 2,19,19,0.1900
,Boone 3rd Ward,24,29,0.3800
,Madrid 1st Ward,8,9,0.1900
,Rural Precinct 1,22,24,0.1900
,Boone 2nd Ward,23,24,0.3800
,Boone 5th Ward,13,14,0.3800
,Rural Precinct 5,7,9,0.1900
