County,Precinct,First Expression,Final Expression,SDE
Adair,1NW ADAIR,0,0,0
,2NE STUART,1,1,0
,5GF GREENFIELD,12,13,0.1569
,Total,13,14,0.1569
Adams,Adams 5,0,0,0
,Adams 4,0,0,0
,Adams 1,0,0,0
,Total,0,0,0
Allamakee,Pct 11 - Waukon 3,6,0,0
,Pct 07 - CN/LF/LS/LS City,3,0,0
,Pct 05 - LT/PC/WV City,0,0,0
,Pct 08 - IA/UC/NA City,0,0,0
,Pct 01 - WL/HV,0,0,0
,Pct 04 - PV City,10,10,0.1556
,Pct 09 - Waukon 1,3,0,0
,Pct 02 - FC/JF/LL/MK/UP,9,13,0.2333
,Total,31,23,0.3889
Appanoose,Pleasant/Franklin,0,0,0
,Washington/Wells,0,0,0
,Union / Udell Township,1,0,0
,Caldwell Township,0,0,0
,Taylor/Chariton,0,0,0
,Walnut,3,4,0.0800
,Johns/Independence,0,0,0
,Vermillion/Douglas/Sharon,0,0,0
,Centerville Ward 2,0,0,0
,Centerville Ward 1,0,0,0
,Centerville Ward 3,0,0,0
,Total,4,4,0.0800
Audubon,Precinct 2,0,0,0
,Precinct 1,9,0,0
,Total,9,0,0
Benton,Fremont-Atkins,3,0,0
,Belle Plaine 1,0,0,0
,Belle Plaine 2,0,0,0
,Bruce-Cedar-Mt Auburn,0,0,0
,Homer-Monroe-Jackson-Garrison,0,0,0
,Iowa-Leroy-Luzerne-Blairstown,1,0,0
,Florence-St Clair-Norway,0,0,0
,Polk-Urbana,2,0,0
,Walford,2,0,0
,Benton-Canton-Shellsburg,0,0,0
,Vinton 3,2,0,0
,Big Grove-Union-Van Horne,0,0,0
,Kane-Keystone,3,0,0
,Eldorado-Newhall,2,0,0
,Vinton 1,1,1,0
,Vinton 2,0,0,0
,Eden-Harrison-Taylor,0,0,0
,Belle Plaine 3,1,0,0
,Total,17,1,0
Black Hawk,CF W2 P2 & CF Twp,14,0,0
,CF W5 P2,15,0,0
,CF W4 P1,6,0,0
,CF W1 P2,16,0,0
,CF W1 P3,23,0,0
,WL 5-3,0,0,0
,WL 3-5,0,0,0
,WL 4-4,0,0,0
,Bennington,1,1,0
,Eagle,1,0,0
,Evansdale W3,1,0,0
,Elk Run Heights & Raymond,0,0,0
